Building Name,Building No.,Building Address,Town,Electrical (kWh),Electrical ($),Natural Gas (ccf),Natural Gas ($),Propane (gal),Propane ($),No. 1 Oil (gal),No. 1 Oil ($),No. 2 Oil (gal),No. 2 Oil ($),No. 6 Oil (gal),No. 6 Oil ($),Wood Chunk (cord),Wood Chunk ($),Wood Chip (ton),Wood Chip ($),Wood Pellet (ton),Wood Pellet ($),Biodiesel Blend (B20) (gal),Biodiesel Blend (B20) ($),Diesel (gal),Diesel ($),Gasohol (gal),Gasohol ($), BLDG TOTAL ($),Year,Location
Red Barn,6285,317 Academy Rd,Pittsford,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2011 12:00:00 AM,"317 Academy Rd
Pittsford, VT
(43.715081829000496, -73.01761090199966)"
6 & 7 North,6355,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2010 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
Father Logue Camp Maintenance Shed,6612,Hart Rd,Duxbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2011 12:00:00 AM,"Hart Rd
Duxbury, VT
(44.3293600070005, -72.76684821899966)"
6 & 7 North,6355,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2011 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
2 Governor Aiken Ave,6001,2 Governor Aiken Ave,Montpelier,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2009 12:00:00 AM,"2 Governor Aiken Ave
Montpelier, VT
(44.2616680910005, -72.58180504799964)"
Woodside Juvenile Facility,6220,26 Woodside Dr East,Essex,288720.00,$33219.90,,,3251.40,$5381.17,,,7511.00,$18185.64,,,,,,,,,,,,,,,$56786.71,01/01/2010 12:00:00 AM,"26 Woodside Dr East
Essex, VT
(44.501563055000474, -73.14590593299965)"
NWSCF Wood Shop,6323,3649 Lower Newton Rd,St. Albans,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2009 12:00:00 AM,"3649 Lower Newton Rd
St. Albans, VT
(44.85470419100045, -73.14088758699967)"
Ag/Environmental Lab,6394,103 South Main St,Waterbury,,,,,41.30,$65.66,,,,,,,,,,,,,,,103.30,$254.69,,,$320.35,01/01/2011 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
Garage,6253,1078 US Rte 2,Middlesex,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2013 12:00:00 AM,"1078 US Rte 2
Middlesex, VT
(44.30009250600045, -72.69103957499965)"
NWSCF Green Houses,6335,3649 Lower Newton Rd,St. Albans,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2009 12:00:00 AM,"3649 Lower Newton Rd
St. Albans, VT
(44.85470419100045, -73.14088758699967)"
Sewing Building,6375,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2011 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
Recycling/Old Carpenter Shop,6386,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2009 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
Admin Building,6288,93 Davison Dr,Pittsford,39367.00,$7190.31,,,,,,,,,,,,,,,,,,,,,,,$7190.31,01/01/2013 12:00:00 AM,"93 Davison Dr
Pittsford, VT
(43.718299551000484, -73.01770633999968)"
NWSCF Generator Building,6334,3649 Lower Newton Rd,St. Albans,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2012 12:00:00 AM,"3649 Lower Newton Rd
St. Albans, VT
(44.85470419100045, -73.14088758699967)"
9 Baldwin St,6005,9 Baldwin St,Montpelier,13869.00,$2124.46,,,,,,,1414.20,$4306.73,,,,,,,,,,,,,,,$6431.19,01/01/2011 12:00:00 AM,"9 Baldwin St
Montpelier, VT
(44.263066679000474, -72.58306406199966)"
Sharon North Information Center,9447,"I-89 Northbound, Mile Marker 10",Sharon,261660.00,$39439.95,,,497.90,$962.49,,,137.10,$443.58,,,,,,,,,,,356.30,$1138.68,,,$41984.70,01/01/2011 12:00:00 AM,"I-89 Northbound, Mile Marker 10
Sharon, VT
(43.783681207000484, -72.45679705999964)"
NWSCF Barn,6327,3649 Lower Newton Rd,St. Albans,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2009 12:00:00 AM,"3649 Lower Newton Rd
St. Albans, VT
(44.85470419100045, -73.14088758699967)"
NWSCF Generator Building,6334,3649 Lower Newton Rd,St. Albans,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2011 12:00:00 AM,"3649 Lower Newton Rd
St. Albans, VT
(44.85470419100045, -73.14088758699967)"
SSCF GHI Building,6515,"700 Charlestown Rd, Rte 11",Springfield,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2010 12:00:00 AM,"700 Charlestown Rd, Rte 11
Springfield, VT
(43.26490670600049, -72.44043509499966)"
Duxbury Farm, 6602-6607,6102 VT Rte 100,Duxbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2010 12:00:00 AM,"6102 VT Rte 100
Duxbury, VT
(44.325547171000494, -72.74907603299965)"
South Corridor,6359,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2009 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
NWSCF Print Shop,6330,3649 Lower Newton Rd,St. Albans,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2011 12:00:00 AM,"3649 Lower Newton Rd
St. Albans, VT
(44.85470419100045, -73.14088758699967)"
6 & 7 South,6362,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2013 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
District Court,6161,30 Putney Rd,Brattleboro,197437.00,$34816.39,,,,,,,8100.00,$27520.56,,,,,,,,,,,,,,,$62336.95,01/01/2011 12:00:00 AM,"30 Putney Rd
Brattleboro, VT
(42.85647372900047, -72.55992780599962)"
NSCF A-2 Admin/Seg/Dining,6263,2559 Glen Rd,Newport,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2011 12:00:00 AM,"2559 Glen Rd
Newport, VT
(44.905582808000474, -72.19366928499966)"
Hay Barn,6453,546 State Farm Rd,Windsor,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2010 12:00:00 AM,"546 State Farm Rd
Windsor, VT
(43.50109692300049, -72.42632403899967)"
252 Main St (KenGar),6630,252 Main St,Hyde Park,18000.00,$4156.05,,,,,,,1190.50,$4057.20,,,,,,,,,,,,,,,$8213.25,01/01/2013 12:00:00 AM,"252 Main St
Hyde Park, VT
(44.5927586680005, -72.61538130599968)"
Education Building,6446,546 State Farm Rd,Windsor,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2011 12:00:00 AM,"546 State Farm Rd
Windsor, VT
(43.50109692300049, -72.42632403899967)"
Recycling/Old Carpenter Shop,6386,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2010 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
West Office Center Core,6374,103 South Main St,Waterbury,,,,,5506.00,$8596.52,,,,,,,,,,,,,,,,,,,$8596.52,01/01/2009 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
Old Generator Building,6287,317 Academy Rd,Pittsford,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2012 12:00:00 AM,"317 Academy Rd
Pittsford, VT
(43.715081829000496, -73.01761090199966)"
Troop Headquarters,6110,1594 Waits River Rd,Bradford,37200.00,$4101.45,,,,,,,,,,,,,,,,,,,,,,,$4101.45,01/01/2010 12:00:00 AM,"1594 Waits River Rd
Bradford, VT
(43.98572652100046, -72.14094055599963)"
Trailer,1010,255 North Main St,Bennington,69000.00,$10526.62,,,4704.10,$9915.84,,,,,,,,,,,,,,,,,,,$20442.46,01/01/2011 12:00:00 AM,"255 North Main St
Bennington, VT
(42.87958645200047, -73.19964959799967)"
Hartford North Information Center,8,"I-91 Northbound, Mile Marker 68.5",Hartford,33328.06,$3927.64,,,,,,,565.00,$1242.45,,,,,,,,,,,,,,,$5170.09,01/01/2009 12:00:00 AM,"I-91 Northbound, Mile Marker 68.5
Hartford, VT
(43.660620862000485, -72.33879686499967)"
Court House,6300,9 Merchants Row,Rutland,435551.00,$74887.93,,,,,,,13017.00,$44817.69,,,,,,,,,,,,,,,$119705.62,01/01/2012 12:00:00 AM,"9 Merchants Row
Rutland, VT
(43.60902150700048, -72.98084682899963)"
Troop Headquarters,6252,1078 US Rte 2,Middlesex,44084.00,$7499.61,,,,,,,,,,,,,,,,,,,,,,,$7499.61,01/01/2012 12:00:00 AM,"1078 US Rte 2
Middlesex, VT
(44.30009250600045, -72.69103957499965)"
Shop & Storage,6034,132 State St,Montpelier,,,,,,,,,,,,,,,,,,,,,134.80,$279.03,,,$279.03,01/01/2009 12:00:00 AM,"132 State St
Montpelier, VT
(44.261692764000486, -72.58249672999966)"
State Office,6160,232 Main St,Brattleboro,234053.00,$35257.09,,,,,,,,,,,,,,,,,6504.00,$15469.76,,,,,$50726.85,01/01/2010 12:00:00 AM,"232 Main St
Brattleboro, VT
(42.855784403000484, -72.56022627699963)"
NSCF A-1 Admin,6261,2559 Glen Rd,Newport,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2009 12:00:00 AM,"2559 Glen Rd
Newport, VT
(44.905582808000474, -72.19366928499966)"
Eastern State Exposition Building,6410,1305 Memorial Ave,"Springfield, MA",,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2009 12:00:00 AM,"1305 Memorial Ave
Springfield, MA, VT
(44.075203487000465, -72.66268762899966)"
144 State St,6032,144 State St,Montpelier,15671.73,$1846.88,,,3353.20,$3801.52,,,,,,,,,,,,,,,,,,,$5648.40,01/01/2009 12:00:00 AM,"144 State St
Montpelier, VT
(44.26204216500048, -72.58402698799966)"
Logue Cottage,6393,103 South Main St,Waterbury,,,,,666.30,$989.40,,,,,,,,,,,,,,,,,,,$989.40,01/01/2013 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
NWSCF 50 Bed Satellite Unit,6331,3649 Lower Newton Rd,St. Albans,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2011 12:00:00 AM,"3649 Lower Newton Rd
St. Albans, VT
(44.85470419100045, -73.14088758699967)"
Building 1705,6200,424 Hegeman Ave,Colchester,15707.00,$2495.29,73.00,$474.40,,,,,1655.60,$5547.77,,,,,,,,,,,,,,,$8517.46,01/01/2013 12:00:00 AM,"424 Hegeman Ave
Colchester, VT
(44.507221855000466, -73.14660312499967)"
8 & 9 North,6356,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2009 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
NSCF B Building/Gym,6264,2559 Glen Rd,Newport,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2011 12:00:00 AM,"2559 Glen Rd
Newport, VT
(44.905582808000474, -72.19366928499966)"
NSCF VCI 1,6268,2559 Glen Rd,Newport,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2013 12:00:00 AM,"2559 Glen Rd
Newport, VT
(44.905582808000474, -72.19366928499966)"
Garage by Lumber Storage,6388,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2012 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
Plate Shop,6455,546 State Farm Rd,Windsor,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2010 12:00:00 AM,"546 State Farm Rd
Windsor, VT
(43.50109692300049, -72.42632403899967)"
District Court & Office,6080,200 Veteran's Memorial Dr,Bennington,140106.00,$23789.12,,,194.20,$261.26,,,,,,,,,,,,,,,,,,,$24050.38,01/01/2012 12:00:00 AM,"200 Veteran's Memorial Dr
Bennington, VT
(42.88864540200046, -73.19911107899964)"
Disposal Plant/Storage,6387,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2011 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
CCWC Dorm,6347,1266 US Rte 5,St. Johnsbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2010 12:00:00 AM,"1266 US Rte 5
St. Johnsbury, VT
(44.335513335000485, -72.04233839099965)"
2 Governor Aiken Ave,6001,2 Governor Aiken Ave,Montpelier,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2012 12:00:00 AM,"2 Governor Aiken Ave
Montpelier, VT
(44.2616680910005, -72.58180504799964)"
Public Safety Building,6384,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,315.30,$882.82,,,$882.82,01/01/2011 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
Duxbury Farm, 6602-6607,6102 VT Rte 100,Duxbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2013 12:00:00 AM,"6102 VT Rte 100
Duxbury, VT
(44.325547171000494, -72.74907603299965)"
Administration Building,6445,546 State Farm Rd,Windsor,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2010 12:00:00 AM,"546 State Farm Rd
Windsor, VT
(43.50109692300049, -72.42632403899967)"
Mahady Court House,6240,7 Mahady Court St,Middlebury,245469.00,$44495.59,,,,,,,3235.40,$7895.24,,,,,154.81,$8050.12,,,,,,,,,$60440.95,01/01/2010 12:00:00 AM,"7 Mahady Court St
Middlebury, VT
(44.01385624800048, -73.16248787899963)"
Modular Bldg (Fecteau unit),6083,200 Veteran's Memorial Dr,Bennington,861104.00,$133185.10,,,,,,,,,,,,,,,,,,,,,,,$133185.10,01/01/2011 12:00:00 AM,"200 Veteran's Memorial Dr
Bennington, VT
(42.88864540200046, -73.19911107899964)"
SSCF A Core Building,6514,"700 Charlestown Rd, Rte 11",Springfield,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2011 12:00:00 AM,"700 Charlestown Rd, Rte 11
Springfield, VT
(43.26490670600049, -72.44043509499966)"
Temporary Offices,,200 Veteran's Memorial Dr,Bennington,690511.00,$123279.08,,,,,,,,,,,,,,,,,,,,,,,,01/01/2013 12:00:00 AM,"200 Veteran's Memorial Dr
Bennington, VT
(42.88864540200046, -73.19911107899964)"
MVRCF Education,6315,167 State St,Rutland,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2010 12:00:00 AM,"167 State St
Rutland, VT
(43.6085264240005, -72.99014325899964)"
Firing Range,6283,317 Academy Rd,Pittsford,199.00,$208.86,,,,,,,,,,,,,,,,,,,,,,,$208.86,01/01/2010 12:00:00 AM,"317 Academy Rd
Pittsford, VT
(43.715081829000496, -73.01761090199966)"
Modular Building,6041,167 State St,Rutland,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2010 12:00:00 AM,"167 State St
Rutland, VT
(43.6085264240005, -72.99014325899964)"
Dorm & Dining,6448,546 State Farm Rd,Windsor,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2009 12:00:00 AM,"546 State Farm Rd
Windsor, VT
(43.50109692300049, -72.42632403899967)"
SSCF BC-Seg Building,6516,"700 Charlestown Rd, Rte 11",Springfield,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2010 12:00:00 AM,"700 Charlestown Rd, Rte 11
Springfield, VT
(43.26490670600049, -72.44043509499966)"
NESCF Program Building,6346,1270 US Rte 5,St. Johnsbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2011 12:00:00 AM,"1270 US Rte 5
St. Johnsbury, VT
(44.33557262400046, -72.04234201199966)"
North Country Dorm,6450,546 State Farm Rd,Windsor,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2010 12:00:00 AM,"546 State Farm Rd
Windsor, VT
(43.50109692300049, -72.42632403899967)"
Eastern State Exposition Building,6410,1305 Memorial Ave,"Springfield, MA",,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2010 12:00:00 AM,"1305 Memorial Ave
Springfield, MA, VT
(44.075203487000465, -72.66268762899966)"
Red Storage Building,6286,317 Academy Rd,Pittsford,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2013 12:00:00 AM,"317 Academy Rd
Pittsford, VT
(43.715081829000496, -73.01761090199966)"
NESCF Wood Shed 3,6525,1270 US Rte 5,St. Johnsbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2009 12:00:00 AM,"1270 US Rte 5
St. Johnsbury, VT
(44.33557262400046, -72.04234201199966)"
Repair & Maintenance,6391,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2011 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
Sign & Plate Shop Storage,6444,546 State Farm Rd,Windsor,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2011 12:00:00 AM,"546 State Farm Rd
Windsor, VT
(43.50109692300049, -72.42632403899967)"
State Office,6510,100 Mineral St,Springfield,467496.00,$72673.27,,,,,,,15170.40,$35284.80,,,,,,,,,,,,,,,$107958.07,01/01/2010 12:00:00 AM,"100 Mineral St
Springfield, VT
(43.29739979800047, -72.48456856299964)"
Guilford Welcome Center,9734,1235 Broad Brook Rd,Guilford,252770.00,$34063.09,,,4109.40,$7643.29,,,,,,,,,,,,,,,,,,,$41706.38,01/01/2012 12:00:00 AM,"1235 Broad Brook Rd
Guilford, VT
(42.814552738000486, -72.56738958699964)"
Saw Mill,6451,546 State Farm Rd,Windsor,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2013 12:00:00 AM,"546 State Farm Rd
Windsor, VT
(43.50109692300049, -72.42632403899967)"
Maintenance Storage,6440,546 State Farm Rd,Windsor,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2010 12:00:00 AM,"546 State Farm Rd
Windsor, VT
(43.50109692300049, -72.42632403899967)"
NESCF Greenhouse,6527,1270 US Rte 5,St. Johnsbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2012 12:00:00 AM,"1270 US Rte 5
St. Johnsbury, VT
(44.33557262400046, -72.04234201199966)"
CCWC Wood Shed 2,6345,1266 US Rte 5,St. Johnsbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2011 12:00:00 AM,"1266 US Rte 5
St. Johnsbury, VT
(44.335513335000485, -72.04233839099965)"
NSCF Living Unit C,6265,2559 Glen Rd,Newport,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2009 12:00:00 AM,"2559 Glen Rd
Newport, VT
(44.905582808000474, -72.19366928499966)"
4 South,6396,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2011 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
District Court,6161,30 Putney Rd,Brattleboro,212411.00,$35220.07,,,,,,,7501.20,$28265.40,,,,,,,,,,,,,,,$63485.47,01/01/2013 12:00:00 AM,"30 Putney Rd
Brattleboro, VT
(42.85647372900047, -72.55992780599962)"
Troop Headquarters,6290,1987 Rockingham Rd,Rockingham,125721.77,$14816.04,,,3396.80,$4874.98,,,,,,,,,,,,,,,83.30,$216.96,,,$19907.98,01/01/2009 12:00:00 AM,"1987 Rockingham Rd
Rockingham, VT
(43.22609242100049, -72.54181107699964)"
1 Baldwin St,6003,1 Baldwin St,Montpelier,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2010 12:00:00 AM,"1 Baldwin St
Montpelier, VT
(44.262666348000494, -72.58143431499963)"
12 Baldwin St,6007,12 Baldwin St,Montpelier,33660.00,$5092.62,,,,,,,1177.20,$4243.34,,,,,,,,,,,,,,,$9335.96,01/01/2012 12:00:00 AM,"12 Baldwin St
Montpelier, VT
(44.263022856000475, -72.58310670099962)"
CCWC Dorm,6347,1266 US Rte 5,St. Johnsbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2011 12:00:00 AM,"1266 US Rte 5
St. Johnsbury, VT
(44.335513335000485, -72.04233839099965)"
123 South Main St,6381,123 South Main St,Waterbury,,,,,,,,,1193.10,$2304.02,,,,,,,,,,,,,,,$2304.02,01/01/2009 12:00:00 AM,"123 South Main St
Waterbury, VT
(44.3314876500005, -72.75009542099963)"
Williston North Information Center,19,"I-89 Northbound, Mile Marker 82",Williston,175437.23,$20674.90,,,,,,,4204.00,$9092.85,,,,,,,,,,,,,,,$29767.75,01/01/2009 12:00:00 AM,"I-89 Northbound, Mile Marker 82
Williston, VT
(44.45307249700045, -73.11672904099964)"
Bradford Welcome Center,9707,"I-91 Northbound, Mile Marker 100",Bradford,43185.00,$5804.93,,,1344.90,$1991.70,,,,,,,,,,,,,,,,,,,$7796.63,01/01/2013 12:00:00 AM,"I-91 Northbound, Mile Marker 100
Bradford, VT
(43.992840026000465, -72.12826693699964)"
13 Baldwin St,6008,13 Baldwin St,Montpelier,11779.00,$1388.13,,,,,,,1687.50,$3337.34,,,,,,,,,,,,,,,$4725.47,01/01/2009 12:00:00 AM,"13 Baldwin St
Montpelier, VT
(44.263196964000485, -72.58360415399966)"
Lyndon Information Center,9713,"I-91 Southbound, Mile Marker 141",Lyndon,44729.00,$7499.22,,,2996.00,$5651.46,,,,,,,,,,,,,,,,,,,$13150.68,01/01/2011 12:00:00 AM,"I-91 Southbound, Mile Marker 141
Lyndon, VT
(44.51443295600046, -72.01197727799968)"
Osgood Building,6350,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2009 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
Sharon North Information Center,9447,"I-89 Northbound, Mile Marker 10",Sharon,258780.00,$41006.86,,,305.40,$521.54,,,,,,,,,,,,,,,513.00,$1761.72,,,$43290.12,01/01/2012 12:00:00 AM,"I-89 Northbound, Mile Marker 10
Sharon, VT
(43.783681207000484, -72.45679705999964)"
NWSCF Sewage Building,6328,3649 Lower Newton Rd,St. Albans,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2011 12:00:00 AM,"3649 Lower Newton Rd
St. Albans, VT
(44.85470419100045, -73.14088758699967)"
Capital Region Information Center (12),6026,134 State St,Montpelier,,,,,319.10,$349.31,,,,,,,,,,,,,,,,,,,$349.31,01/01/2009 12:00:00 AM,"134 State St
Montpelier, VT
(44.2617827790005, -72.58287692599964)"
Old Generator Building,6287,317 Academy Rd,Pittsford,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2009 12:00:00 AM,"317 Academy Rd
Pittsford, VT
(43.715081829000496, -73.01761090199966)"
26 Terrace St,6012,26 Terrace St,Montpelier,128480.00,$16108.69,,,,,,,4129.20,$10393.69,,,,,,,,,,,,,,,$26502.38,01/01/2010 12:00:00 AM,"26 Terrace St
Montpelier, VT
(44.264964103000466, -72.58574674999966)"
McFarland State Office,6071,5 Perry St,Barre,612960.00,$73815.74,,,,,,,14702.00,$35771.60,,,,,,,,,,,,,,,$109587.34,01/01/2010 12:00:00 AM,"5 Perry St
Barre, VT
(44.19508157000047, -72.49818453599966)"
Asa Bloomer Building,6303,88 Merchants Row,Rutland,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2013 12:00:00 AM,"88 Merchants Row
Rutland, VT
(43.60680073900045, -72.98028660299963)"
Duxbury Farm Residence,6601,6102 VT Rte 100,Duxbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2012 12:00:00 AM,"6102 VT Rte 100
Duxbury, VT
(44.325547171000494, -72.74907603299965)"
Central Heat Plant,6021,122 State St,Montpelier,,,,,124.20,$188.74,,,,,158648.27,$374308.79,,,3203.18,$208875.48,,,,,734.20,$1760.60,,,$585133.61,01/01/2010 12:00:00 AM,"122 State St
Montpelier, VT
(44.26143219300047, -72.58136680399963)"
14-16 Baldwin St,6009,14-16 Baldwin St,Montpelier,15493.00,$2456.53,,,,,,,2861.80,$9813.45,,,,,,,,,,,,,,,$12269.98,01/01/2013 12:00:00 AM,"14-16 Baldwin St
Montpelier, VT
(44.26262374200047, -72.58134620099963)"
Radio & Communications Storage,6256,409 US Rte 2,Middlesex,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2011 12:00:00 AM,"409 US Rte 2
Middlesex, VT
(44.27601227600047, -72.64280804899965)"
NESCF Storage Building,6522,1270 US Rte 5,St. Johnsbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2010 12:00:00 AM,"1270 US Rte 5
St. Johnsbury, VT
(44.33557262400046, -72.04234201199966)"
East Cottage,6271,317 Academy Rd,Pittsford,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2013 12:00:00 AM,"317 Academy Rd
Pittsford, VT
(43.715081829000496, -73.01761090199966)"
Boiler House,6378,103 South Main St,Waterbury,,,,,187.00,$307.00,,,,,131573.41,$276596.91,,,3824.11,$221798.38,,,,,586.20,$1388.43,,,$500090.72,01/01/2010 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
Garage by Lumber Storage,6388,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2011 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
NWSCF Generator Building,6334,3649 Lower Newton Rd,St. Albans,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2010 12:00:00 AM,"3649 Lower Newton Rd
St. Albans, VT
(44.85470419100045, -73.14088758699967)"
Shop & Storage,6013,10 Taylor St,Montpelier,,,,,,,,,650.40,$2241.27,,,,,,,,,,,,,,,$2241.27,01/01/2013 12:00:00 AM,"10 Taylor St
Montpelier, VT
(44.25962576800049, -72.57997604299965)"
Waterford Welcome Center,9731,1270 I-93 Northbound,Waterford,32480.00,$4930.07,,,2930.30,$5554.35,,,,,,,,,,,,,,,,,,,$10484.42,01/01/2012 12:00:00 AM,"1270 I-93 Northbound
Waterford, VT
(44.3435309460005, -71.89139861799964)"
Red Storage Building,6286,317 Academy Rd,Pittsford,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2009 12:00:00 AM,"317 Academy Rd
Pittsford, VT
(43.715081829000496, -73.01761090199966)"
Regional Library,6210,471 VT Rte 5,Dummerston,16484.00,$2483.54,,,,,,,2001.00,$6381.38,,,,,,,,,,,,,,,$8864.92,01/01/2011 12:00:00 AM,"471 VT Rte 5
Dummerston, VT
(42.90820518600049, -72.54407329999964)"
Power Pump,,,Middlesex,,,,,439.80,$1025.36,,,,,,,,,,,,,,,,,,,$1025.36,01/01/2009 12:00:00 AM,"Middlesex, VT
(44.075203487000465, -72.66268762899966)"
Dorm & Dining,6448,546 State Farm Rd,Windsor,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2012 12:00:00 AM,"546 State Farm Rd
Windsor, VT
(43.50109692300049, -72.42632403899967)"
Wood Storage Shed 2 (outside fence),6465,546 State Farm Rd,Windsor,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2010 12:00:00 AM,"546 State Farm Rd
Windsor, VT
(43.50109692300049, -72.42632403899967)"
